mol_i, mol_j, whole_dissimilarity
4, 73, 0.0031360728517147995
4, 74, 0.0031256326562010273
4, 75, 0.0031728803546005047
4, 76, 0.003474325835474801
4, 77, 0.0028870983946278628
4, 78, 0.0028605505294625466
4, 79, 0.0028563093194147182
4, 80, 0.00286747659267661
4, 81, 0.0028791320491031724
4, 82, 0.0028833614574167443
4, 83, 0.0028859937864257335
4, 84, 0.0029020050361331373
4, 85, 0.0029460906408179666
4, 86, 0.0029679555045563077
4, 87, 0.0031362091119945257
4, 88, 0.003589773990235523
4, 89, 0.003597301529023933
4, 90, 0.0035451887891867484
4, 91, 0.003528481393752503
4, 92, 0.0035397069164536665
4, 93, 0.0035371572716788036
4, 94, 0.0035334858422344517
4, 95, 0.0035259317192909423
4, 96, 0.0035208607967569527
4, 97, 0.0036206827724970525
4, 98, 0.004044741124667572
4, 99, 0.0030928923755926263
4, 100, 0.0030723007775909084
4, 101, 0.003061301553655027
4, 102, 0.0030706156950889296
4, 103, 0.003079332942609536
4, 104, 0.003079756994295302
4, 105, 0.003079687656675767
4, 106, 0.003081628487901167
4, 107, 0.003088312140099636
4, 108, 0.0030863281934452313
4, 109, 0.0038645002154733543
5, 0, 0.00014105987837476075
5, 1, 0.00022249467853185934
5, 2, 0.00011079301710181788
5, 3, 0.0001535888641449601
5, 4, 4.509984451606108e-05
5, 5, 0.0
5, 6, 1.5653844275931306e-05
5, 7, 2.9512811227205837e-05
5, 8, 3.825232818865931e-05
5, 9, 8.71727150230095e-05
5, 10, 0.0007505891354062655
5, 11, 0.0015944444507889344
5, 12, 0.0015525048113839146
5, 13, 0.001555647327607601
5, 14, 0.001534997405550409
5, 15, 0.0015328173757672703
5, 16, 0.0015354120281004802
5, 17, 0.0015371468561461432
5, 18, 0.0015349408185880709
5, 19, 0.0015377827072130534
5, 20, 0.0015512232730798825
5, 21, 0.0015693638989691117
5, 22, 0.002129643404380044
5, 23, 0.0021027502839096046
5, 24, 0.002055933383918962
5, 25, 0.0020498322298646565
5, 26, 0.002041213333095815
5, 27, 0.002043384665118775
5, 28, 0.002051052676835252
5, 29, 0.002079017915915138
5, 30, 0.0020818648925601257
5, 31, 0.0022133269657488297
5, 32, 0.0021060401047546806
5, 33, 0.0014465992390072513
5, 34, 0.001500359939743512
5, 35, 0.001572698858883892
5, 36, 0.0013850791957877862
5, 37, 0.0013522893375816913
5, 38, 0.0013333985665732184
5, 39, 0.0013365576504769106
5, 40, 0.0013482600960268432
5, 41, 0.0013533902159851285
5, 42, 0.0014275753995262042
5, 43, 0.0015976963658296262
5, 44, 0.0026183985339943705
5, 45, 0.0025608927435036843
5, 46, 0.002519049155074393
5, 47, 0.00251833036985738
5, 48, 0.00252692474299987
5, 49, 0.0025405015005270926
5, 50, 0.002546454953020749
5, 51, 0.00254678979687073
5, 52, 0.0025543395439628913
5, 53, 0.0025870229787147148
5, 54, 0.00277766146736369
5, 55, 0.002873849526297212
5, 56, 0.0025787591110705277
5, 57, 0.002501149887470966
5, 58, 0.002458228694066311
5, 59, 0.002461395290799029
5, 60, 0.0024568713312803636
5, 61, 0.0024584260668162328
5, 62, 0.0024841320542714485
5, 63, 0.002594863260635516
5, 64, 0.0038455876667450317
5, 65, 0.02089992443534927
5, 66, 0.0031196040666917613
5, 67, 0.0030850282586575295
5, 68, 0.0030429710776559427
5, 69, 0.0030649580012772626
5, 70, 0.003068699802435071
5, 71, 0.003060168437174826
5, 72, 0.003051838962888076
5, 73, 0.0030448908266850205
5, 74, 0.003031053792181493
5, 75, 0.00307703996587394
5, 76, 0.0033788908001988194
5, 77, 0.002862766103654768
5, 78, 0.0028213167661907956
5, 79, 0.0028023673458067444
5, 80, 0.0028018489869164886
5, 81, 0.0028038857252689064
5, 82, 0.002801458772422105
5, 83, 0.00279950062924772
5, 84, 0.00281085894226063
5, 85, 0.002853722862935726
5, 86, 0.0028738446906237947
5, 87, 0.0030414857034465337
5, 88, 0.003547092733441448
5, 89, 0.0035201080136444407
5, 90, 0.0034678678576017807
5, 91, 0.003453165228677557
5, 92, 0.003458145139873192
5, 93, 0.0034480446378152285
5, 94, 0.003439388392319387
5, 95, 0.003428604928751966
5, 96, 0.0034207557490603113
5, 97, 0.0035236973314540787
5, 98, 0.003942203472231065
5, 99, 0.0030646452897364895
5, 100, 0.0030261364433782356
5, 101, 0.0030017363622579785
5, 102, 0.0030026032036294392
5, 103, 0.003001746441266162
5, 104, 0.0029948925579303953
5, 105, 0.002989401107418632
5, 106, 0.0029865243737307035
5, 107, 0.002990826924371026
5, 108, 0.0029890296130058447
5, 109, 0.0037671074780648572
6, 0, 0.00015808148805018796
6, 1, 0.0002842538726873789
6, 2, 0.0001689375475965038
6, 3, 0.0002294709315351362
6, 4, 0.00010114766052238267
6, 5, 1.5653844275931306e-05
6, 6, 1.1102230246251565e-16
6, 7, 3.477619146874389e-06
6, 8, 9.683642994029462e-06
6, 9, 5.61421687433894e-05
6, 10, 0.0007216269869331216
6, 11, 0.0016113160394526371
6, 12, 0.0015586155318239037
6, 13, 0.0015678652327841824
6, 14, 0.0015282826033505836
6, 15, 0.0015137983590030046
6, 16, 0.0015128281352344564
6, 17, 0.0015135894343700773
6, 18, 0.0015111931073282792
6, 19, 0.0015141684176003256
6, 20, 0.0015276023642908365
6, 21, 0.001545926785175178
6, 22, 0.0021497612152270307
6, 23, 0.0021138261995578
6, 24, 0.002064994975668588
6, 25, 0.0020583411335725055
6, 26, 0.002034773500025122
6, 27, 0.0020276129227554396
6, 28, 0.002031097650787461
6, 29, 0.0020572257858730847
6, 30, 0.0020585590564000666
6, 31, 0.00218997370654872
6, 32, 0.0020827365317904745
6, 33, 0.001468526359778899
6, 34, 0.0015542939985847548
6, 35, 0.001661327911809951
6, 36, 0.001437798794004519
6, 37, 0.0013716912980255014
6, 38, 0.0013433340685424788
6, 39, 0.0013312378272167802
6, 40, 0.0013299925699294946
6, 41, 0.001331104389812876
6, 42, 0.0014041687009209713
6, 43, 0.0015771226554349704
6, 44, 0.0026331122154636954
6, 45, 0.0025692180288192645
6, 46, 0.0025180082955585936
6, 47, 0.002512999422864981
6, 48, 0.0025171634266957232
6, 49, 0.0025262414425920587
6, 50, 0.002528437927880267
6, 51, 0.002526493728167045
6, 52, 0.0025327999692856817
6, 53, 0.0025653946299042385
6, 54, 0.002755811910885253
6, 55, 0.002887154393680924
6, 56, 0.0025861057117113617
6, 57, 0.0025003701907390097
6, 58, 0.0024456214663698406
6, 59, 0.0024432299533871937
6, 60, 0.002436269874822261
6, 61, 0.002437585801538633
6, 62, 0.002461918865982793
6, 63, 0.0025728419361679133
6, 64, 0.003822492926152443
6, 65, 0.02087817121515667
6, 66, 0.003132090698314993
6, 67, 0.003090170612051857
6, 68, 0.00303858109730204
6, 69, 0.0030591643832190707
6, 70, 0.0030586497464638596
6, 71, 0.0030462807034785655
6, 72, 0.0030349563843606875
6, 73, 0.0030260280007272655
6, 74, 0.0030098732896667313
6, 75, 0.0030550207350167335
6, 76, 0.003357303127921596
6, 77, 0.0028761153110993254
6, 78, 0.0028280671072389296
6, 79, 0.002802420512452386
6, 80, 0.002796128570739076
6, 81, 0.0027929665831355477
6, 82, 0.002786619318165151
6, 83, 0.00278177260632706
6, 84, 0.002790019683991951
6, 85, 0.0028320001725519184
6, 86, 0.0028510599323402497
6, 87, 0.0030190038711409573
6, 88, 0.0035653382097157182
6, 89, 0.0035218071379418125
6, 90, 0.003469586197720198
6, 91, 0.00345550922665272
6, 92, 0.00345728367585596
6, 93, 0.0034428539735893438
6, 94, 0.003431182231650398
6, 95, 0.003418334152368141
6, 96, 0.0034084867378118
6, 97, 0.0035135385899656146
6, 98, 0.0039291343303731185
6, 99, 0.0030788643335791788
6, 100, 0.003032507910847415
6, 101, 0.0030018957976024607
6, 102, 0.0029984222252865678
6, 103, 0.002992395787679736
6, 104, 0.002981308477705391
6, 105, 0.0029724566766539118
6, 106, 0.0029664014950716577
6, 107, 0.002969008217294733
6, 108, 0.0029673450663274537
6, 109, 0.003745255590251295
7, 0, 0.00016919848698959683
7, 1, 0.0003075203968346818
7, 2, 0.00019043287367492834
7, 3, 0.0002532383553806028
7, 4, 0.0001223604433295833
7, 5, 2.9512811227205837e-05
7, 6, 3.477619146874389e-06
7, 7, 0.0
7, 8, 2.750048115340853e-06
7, 9, 4.475222730171424e-05
7, 10, 0.0007123655514050808
7, 11, 0.0016168363532947927
7, 12, 0.0015611095152152643
7, 13, 0.0015713267125399
7, 14, 0.0015261405235488246
7, 15, 0.0015072039987978902
7, 16, 0.0015045562934967727
7, 17, 0.0015047261320690897
7, 18, 0.0015021400595353063
7, 19, 0.001505190083779806
7, 20, 0.0015180893559736397
7, 21, 0.001536564343886826
7, 22, 0.002156881051018633
7, 23, 0.0021189663285563487
7, 24, 0.002068244770671912
7, 25, 0.0020614242814672723
7, 26, 0.002034058442919706
7, 27, 0.002023815137647822
7, 28, 0.0020251681794983822
7, 29, 0.0020494466020333224
