mol_i, mol_j, min_mean_dissimilarity
7, 86, 0.0016842692347662728
7, 87, 0.001990142947021039
7, 88, 0.0023358068442737366
7, 89, 0.0019711069876622907
7, 90, 0.0019453841292823059
7, 91, 0.0016769530992351918
7, 92, 0.0016156101178125813
7, 93, 0.0015656119395847572
7, 94, 0.0015498703019192505
7, 95, 0.0015535507427462249
7, 96, 0.0016291993774595374
7, 97, 0.001767917415214668
7, 98, 0.002342072479190338
7, 99, 0.0020995973535625533
7, 100, 0.0020336875257659834
7, 101, 0.0016465592226223677
7, 102, 0.0014370548381581472
7, 103, 0.0013128937652007139
7, 104, 0.001255477204642095
7, 105, 0.0012450593927420342
7, 106, 0.0012994527237192046
7, 107, 0.0014177858927313077
7, 108, 0.0014697475842454562
7, 109, 0.00226697702238152
