mol_i, mol_j, min_max_dissimilarity
7, 82, 0.07350606630271861
7, 83, 0.07374096943654429
7, 84, 0.07370030454065102
7, 85, 0.07337948689000662
7, 86, 0.07363385434708214
7, 87, 0.09946759146381179
7, 88, 0.2552428953216994
7, 89, 0.2063449216583496
7, 90, 0.21439351930549055
7, 91, 0.07818763071830892
7, 92, 0.08080808407909756
7, 93, 0.08204470226995242
7, 94, 0.08153365261810319
7, 95, 0.07994321287300565
7, 96, 0.07777807618504173
7, 97, 0.08285375467469125
7, 98, 0.1049208379785117
7, 99, 0.27649538329300516
7, 100, 0.2985821022233147
7, 101, 0.1468169919582557
7, 102, 0.07356458948827194
7, 103, 0.0744306002088474
7, 104, 0.07528848373458707
7, 105, 0.07583239804552899
7, 106, 0.07559043323624937
7, 107, 0.07499016421082871
7, 108, 0.08254073157729547
7, 109, 0.1699016096819722
8, 0, 0.20862930247040867
8, 1, 0.23400825553587945
8, 2, 0.14544443803774865
8, 3, 0.1349827971492138
8, 4, 0.2457019399124991
8, 5, 0.45833094966282306
8, 6, 0.5234906304143727
8, 7, 0.16979892351226222
8, 8, 2.220446049250313e-16
8, 9, 0.07005313194267804
8, 10, 0.12997293109984187
8, 11, 0.15754148316308259
8, 12, 0.2956159738735723
8, 13, 0.39510662879655367
8, 14, 0.5752012928240616
8, 15, 0.3836470501993111
8, 16, 0.3083815447610301
8, 17, 0.2615162849770106
8, 18, 0.15689862472271476
8, 19, 0.08974865170291801
8, 20, 0.09110266158943581
8, 21, 0.07605149032745562
8, 22, 0.24101349159017693
8, 23, 0.2900141570578607
8, 24, 0.2748550754589416
8, 25, 0.3178606128918955
8, 26, 0.5692004787684308
8, 27, 0.1938419412655511
8, 28, 0.07966450142049109
8, 29, 0.07995214820084917
8, 30, 0.0783994131769945
8, 31, 0.11513040598636348
8, 32, 0.07963955629417485
8, 33, 0.21045715449601676
8, 34, 0.2165696053796845
8, 35, 0.11253721193802513
8, 36, 0.22335541705886874
8, 37, 0.24207658861064363
8, 38, 0.271084256370842
8, 39, 0.556727075649514
8, 40, 0.31755849223287147
8, 41, 0.030695360699565133
8, 42, 0.06756535944268849
8, 43, 0.10293229380409075
8, 44, 0.23356812938554905
8, 45, 0.29031912434691476
